Combination,Average Score
"루크, 아드리아나, 펠릭스",24.0
"다니엘, 리다이린, 아르다",19.0
"에이든, 엠마, 카티야",18.75
"니키, 이안, 프리야",12.0
"다르코, 로지, 재키",19.125
"이안, 카밀로, 혜진",8.0
"쇼우, 쇼이치, 이바",7.0
"리오, 마이, 아이작",15.411764705882353
"띠아, 마이, 윌리엄",20.25
"일레븐, 카티야, 헤이즈",18.125
"가넷, 셀린, 카티야",15.714285714285714
"비앙카, 아델라, 케네스",31.0
"나타폰, 마커스, 카밀로",32.0
"나딘, 바바라, 에스텔",4.0
"레녹스, 엠마, 케네스",33.0
"레녹스, 쇼이치, 아드리아나",23.6
"다르코, 비앙카, 셀린",15.75
"다르코, 리오, 수아",11.166666666666666
"데비와 마를렌, 아비게일, 재키",27.333333333333332
"니키, 아비게일, 키아라",24.0
"비앙카, 쇼이치, 카밀로",14.545454545454545
"루크, 샬럿, 아비게일",11.173913043478262
"니키, 루크, 타지아",32.0
"다르코, 라우라, 헤이즈",22.08695652173913
"로지, 유키, 카티야",18.0
"라우라, 카티야, 피오라",22.2
"니키, 버니스, 케네스",22.333333333333332
"매그너스, 바냐, 카티야",23.3
"일레븐, 피오라, 현우",35.0
"가넷, 샬럿, 유민",16.1
"가넷, 데비와 마를렌, 아야",16.761904761904763
"다니엘, 얀, 카밀로",12.5
"라우라, 알렉스, 유민",15.857142857142858
"루크, 비앙카, 피올로",10.2
"나딘, 샬럿, 제니",50.0
"리오, 쇼우, 재키",15.6
"다르코, 리오, 마이",17.666666666666668
"알론소, 유민, 프리야",13.0
"가넷, 다르코, 아디나",6.0
"수아, 아이작, 카티야",21.6
"시셀라, 에스텔, 캐시",17.333333333333332
"다르코, 루크, 카티야",16.40625
"리오, 매그너스, 피오라",13.75
"데비와 마를렌, 바냐, 유민",15.444444444444445
"다르코, 아디나, 유키",9.2
"마이, 에스텔, 윌리엄",5.666666666666667
"마이, 실비아, 카티야",18.181818181818183
"가넷, 루크, 재키",16.2
"바냐, 재키, 카티야",13.4
"가넷, 루크, 타지아",7.0
"루크, 엘레나, 이렘",10.0
"레니, 케네스, 테오도르",2.0
"수아, 자히르, 카티야",24.5
"레니, 수아, 윌리엄",6.0
"마이, 쇼이치, 펠릭스",27.625
"아이솔, 얀, 캐시",14.5
"다르코, 에이든, 케네스",31.0
"리다이린, 알렉스, 유키",13.25
"니키, 재키, 피오라",14.666666666666666
"데비와 마를렌, 로지, 셀린",7.0
"라우라, 리오, 엘레나",25.0
"츠바메, 케네스, 피올로",30.5
"아이솔, 엠마, 유키",11.5
"리오, 에키온, 현우",25.5
"가넷, 유민, 유키",22.666666666666668
"실비아, 알렉스, 자히르",12.5
"리다이린, 아드리아나, 칼라",9.5
"라우라, 루크, 타지아",26.4
"버니스, 쇼이치, 에키온",14.333333333333334
"알렉스, 에스텔, 이바",13.5
"라우라, 셀린, 알론소",34.666666666666664
"루크, 샬럿, 카티야",10.823529411764707
"레온, 마커스, 에키온",25.5
"나타폰, 리다이린, 카티야",8.333333333333334
"에이든, 헤이즈, 현우",17.125
"마이, 자히르, 카밀로",21.692307692307693
"리오, 이바, 케네스",17.0
"리다이린, 아야, 에스텔",12.5
"로지, 셀린, 아이솔",45.0
"로지, 루크, 이렘",14.333333333333334
"데비와 마를렌, 바냐, 츠바메",16.363636363636363
"다르코, 아디나, 유민",24.0
"가넷, 리오, 에이든",22.875
"가넷, 띠아, 아야",28.2
"아야, 요한, 키아라",20.375
"데비와 마를렌, 아디나, 하트",21.333333333333332
"샬럿, 알렉스, 펠릭스",34.0
"리다이린, 마이, 버니스",29.5
"비앙카, 현우, 혜진",5.5
"다르코, 이안, 캐시",21.5
"데비와 마를렌, 알렉스, 카티야",20.733333333333334
"가넷, 얀, 유민",27.571428571428573
"마커스, 버니스, 아비게일",18.8
"리오, 유키, 프리야",16.142857142857142
"로지, 수아, 아르다",6.0
"레니, 아비게일, 아이작",31.8
"레녹스, 비앙카, 캐시",7.666666666666667
"아드리아나, 일레븐, 카티야",24.0
"니키, 쇼우, 카티야",21.4
"루크, 샬럿, 재키",17.8
"매그너스, 에이든, 테오도르",16.8
"리오, 아델라, 아이솔",27.5
"라우라, 로지, 르노어",17.666666666666668
"매그너스, 시셀라, 엘레나",11.0
"데비와 마를렌, 라우라, 엘레나",22.5
"아야, 아이솔, 캐시",20.0
"아이작, 자히르, 케네스",31.5
"마이, 알렉스, 엠마",16.5
"시셀라, 일레븐, 제니",23.0
"마이, 제니, 피오라",25.0
"아이솔, 이렘, 일레븐",9.0
"마커스, 매그너스, 테오도르",14.846153846153847
"가넷, 띠아, 바바라",9.0
"니키, 레녹스, 리오",22.8
"아야, 아이작, 케네스",12.333333333333334
"실비아, 아비게일, 자히르",29.5
"비앙카, 시셀라, 카티야",18.5
"레니, 루크, 피올로",21.785714285714285
"버니스, 쇼이치, 카밀로",14.571428571428571
"캐시, 테오도르, 현우",24.857142857142858
"루크, 아야, 카티야",20.75
"매그너스, 에키온, 헤이즈",19.7
"가넷, 띠아, 케네스",17.8
"마커스, 바바라, 아야",8.333333333333334
"리오, 아비게일, 케네스",12.222222222222221
"마이, 카티야, 헤이즈",17.75
"아드리아나, 아야, 알렉스",11.0
"레녹스, 아이솔, 헤이즈",16.80952380952381
"가넷, 데비와 마를렌, 셀린",16.77777777777778
"마커스, 매그너스, 현우",11.68421052631579
"비앙카, 아드리아나, 얀",31.5
"버니스, 실비아, 아르다",12.0
"르노어, 유키, 프리야",19.5
"버니스, 아드리아나, 유키",25.666666666666668
"띠아, 리오, 유키",17.4
"라우라, 마르티나, 엘레나",32.0
"레온, 셀린, 에스텔",20.25
"쇼이치, 아야, 엠마",10.0
"아르다, 엘레나, 하트",22.0
"다르코, 로지, 케네스",10.666666666666666
"데비와 마를렌, 이바, 현우",3.0
"알렉스, 피올로, 헤이즈",17.666666666666668
"데비와 마를렌, 샬럿, 아야",17.88888888888889
"레녹스, 르노어, 카티야",14.5
"라우라, 루크, 테오도르",21.466666666666665
"얀, 윌리엄, 펠릭스",13.5
"띠아, 아비게일, 아이작",30.571428571428573
"레녹스, 르노어, 쇼이치",21.8
"데비와 마를렌, 아드리아나, 에키온",19.2
"라우라, 엘레나, 제니",31.5
"아디나, 알론소, 테오도르",21.0
"알렉스, 엘레나, 윌리엄",17.0
"아이솔, 알렉스, 케네스",18.3
"다르코, 르노어, 이안",17.5
"다르코, 데비와 마를렌, 리오",20.2
"리오, 마이, 유키",25.8
"마이, 시셀라, 헤이즈",15.142857142857142
"루크, 샬럿, 케네스",16.342105263157894
"레녹스, 매그너스, 캐시",21.0
"라우라, 매그너스, 이바",21.75
"데비와 마를렌, 시셀라, 이렘",14.8
"비앙카, 엘레나, 케네스",23.2
"나딘, 아이작, 피올로",6.0
"엠마, 카밀로, 테오도르",27.5
"리오, 마이, 쇼이치",16.076923076923077
"다니엘, 얀, 현우",13.333333333333334
"로지, 쇼우, 이바",24.5
"버니스, 카밀로, 프리야",25.5
"레온, 마이, 유민",22.5
"니키, 버니스, 쇼이치",13.125
"얀, 이바, 츠바메",8.0
"루크, 리오, 엘레나",17.0
"데비와 마를렌, 아디나, 아이작",11.0
"레니, 리다이린, 아야",42.0
"바바라, 유키, 피오라",32.0
"유키, 카밀로, 피오라",6.0
"바냐, 엠마, 혜진",25.0
"유키, 이안, 테오도르",20.444444444444443
"라우라, 엠마, 헤이즈",15.8
"니키, 쇼이치, 캐시",18.75
"마르티나, 알론소, 엠마",20.5
"루크, 샬럿, 펠릭스",23.857142857142858
"라우라, 테오도르, 현우",20.333333333333332
"가넷, 아델라, 케네스",19.0
"레온, 샬럿, 쇼이치",24.666666666666668
"리오, 마이, 케네스",14.538461538461538
"샬럿, 에키온, 이안",21.0
"가넷, 라우라, 현우",43.0
"라우라, 아이작, 헤이즈",23.77777777777778
"에이든, 유민, 카밀로",13.8
"데비와 마를렌, 로지, 피오라",17.0
"아드리아나, 에스텔, 헤이즈",22.0
"데비와 마를렌, 마이, 셀린",12.142857142857142
"마이, 자히르, 현우",18.727272727272727
"나딘, 엠마, 타지아",20.0
"다르코, 로지, 마이",18.428571428571427
"가넷, 수아, 아이작",34.5
"리오, 마이, 유민",16.666666666666668
"라우라, 아이솔, 펠릭스",23.2
"가넷, 엠마, 제니",17.0
"라우라, 엘레나, 현우",28.166666666666668
"다니엘, 마커스, 카티야",17.88888888888889
"시셀라, 에이든, 캐시",25.0
"레온, 마커스, 유민",12.5
"시셀라, 에이든, 이안",32.333333333333336
"버니스, 타지아, 펠릭스",6.0
"라우라, 시셀라, 케네스",16.8125
"리다이린, 비앙카, 얀",12.5
"피오라, 헤이즈, 현우",13.4
"매그너스, 아디나, 아비게일",11.5
"다르코, 유민, 카티야",18.357142857142858
"나타폰, 띠아, 매그너스",22.4
"띠아, 쇼우, 펠릭스",18.0
"나딘, 아드리아나, 일레븐",18.333333333333332
"레녹스, 로지, 에키온",18.5
"매그너스, 아비게일, 아야",19.846153846153847
"수아, 카티야, 펠릭스",13.4
"라우라, 엘레나, 카티야",12.222222222222221
"아드리아나, 엘레나, 펠릭스",34.75
"쇼이치, 제니, 피올로",31.0
"라우라, 레녹스, 아드리아나",13.777777777777779
"루크, 버니스, 실비아",26.6
"다니엘, 얀, 이렘",18.0
"유민, 유키, 혜진",9.5
"요한, 클로에, 키아라",19.11111111111111
"루크, 리오, 쇼우",23.333333333333332
"아이솔, 얀, 피오라",31.625
"아이솔, 유키, 츠바메",15.0
"레녹스, 루크, 이바",13.0
"나타폰, 바냐, 얀",19.5
"카밀로, 캐시, 헤이즈",21.25
"아비게일, 에이든, 테오도르",12.5
"리다이린, 얀, 현우",14.9
"데비와 마를렌, 쇼이치, 아델라",12.777777777777779
"가넷, 샬럿, 카티야",18.26086956521739
"띠아, 실비아, 아비게일",13.0
"바냐, 에스텔, 카티야",16.444444444444443
"아야, 알렉스, 하트",29.0
"마커스, 아이솔, 혜진",31.0
"다르코, 로지, 쇼이치",13.352941176470589
"레녹스, 버니스, 엠마",9.0
"쇼우, 클로에, 헤이즈",18.0
"니키, 아르다, 카티야",16.0
"리오, 샬럿, 이안",14.8
"버니스, 일레븐, 케네스",20.0
"다르코, 샬럿, 츠바메",12.0
"데비와 마를렌, 띠아, 츠바메",16.0
"유민, 제니, 케네스",25.0
"루크, 에키온, 테오도르",12.25
"르노어, 아야, 에스텔",20.625
"레니, 루크, 타지아",23.25
"데비와 마를렌, 수아, 이바",26.142857142857142
"비앙카, 샬럿, 유키",30.0
"르노어, 샬럿, 쇼우",0.0
"바냐, 쇼이치, 프리야",13.0
"마커스, 셀린, 수아",12.0
"레녹스, 아드리아나, 아르다",14.333333333333334
"니키, 에이든, 이안",30.0
"레녹스, 요한, 카티야",6.5
"다르코, 수아, 하트",14.5
"레니, 루크, 엘레나",6.333333333333333
"아디나, 에스텔, 카티야",14.6
"다르코, 매그너스, 아르다",22.0
"레녹스, 로지, 윌리엄",22.666666666666668
"유키, 이바, 츠바메",11.666666666666666
"마이, 에키온, 카티야",18.615384615384617
"아비게일, 케네스, 혜진",12.0
"아디나, 에스텔, 타지아",19.0
"다르코, 아르다, 이안",20.5
"다르코, 수아, 아르다",20.142857142857142
"니키, 실비아, 알렉스",19.666666666666668
"루크, 유키, 현우",7.75
"다니엘, 엘레나, 케네스",30.333333333333332
"니키, 피오라, 헤이즈",25.833333333333332
"라우라, 르노어, 엠마",17.0
"쇼이치, 일레븐, 재키",20.25
"레녹스, 아비게일, 얀",34.0
"매그너스, 아야, 엘레나",18.25
"아이솔, 알론소, 테오도르",15.8
"데비와 마를렌, 아비게일, 제니",14.8
"레온, 일레븐, 카티야",18.142857142857142
"쇼이치, 알론소, 케네스",29.0
"나딘, 르노어, 마이",15.7
"레온, 로지, 아야",20.0
"아르다, 알론소, 피올로",24.0
"라우라, 매그너스, 아이솔",17.0
"이렘, 카티야, 키아라",12.0
"로지, 엘레나, 유키",18.0
"니키, 쇼이치, 아르다",13.5
"나타폰, 루크, 리다이린",23.0
"루크, 쇼이치, 카밀로",14.727272727272727
"르노어, 마커스, 아야",15.555555555555555
"레녹스, 아야, 엘레나",11.333333333333334
"르노어, 비앙카, 카밀로",8.0
"리오, 알론소, 재키",19.0
"레온, 카밀로, 테오도르",16.6
"얀, 카밀로, 클로에",20.0
"루크, 비앙카, 카밀로",22.2
"데비와 마를렌, 띠아, 이렘",46.0
"데비와 마를렌, 레니, 유민",17.857142857142858
"얀, 윌리엄, 현우",22.0
"샬럿, 아드리아나, 일레븐",7.5
"매그너스, 아비게일, 유민",16.666666666666668
"수아, 아비게일, 요한",19.571428571428573
"데비와 마를렌, 루크, 에키온",9.416666666666666
"엘레나, 이안, 헤이즈",18.571428571428573
"루크, 리오, 마이",15.432432432432432
"리오, 매그너스, 비앙카",13.25
"엠마, 유키, 카티야",24.375
"띠아, 마이, 제니",17.75
"다르코, 아이솔, 피오라",19.75
"아디나, 아야, 엘레나",12.333333333333334
"나타폰, 엠마, 카티야",31.666666666666668
"레니, 키아라, 피올로",15.0
"버니스, 에키온, 엘레나",15.0
"가넷, 다르코, 루크",19.555555555555557
"레온, 바바라, 아야",2.0
"알렉스, 엘레나, 펠릭스",27.857142857142858
"버니스, 알론소, 캐시",22.0
"프리야, 피오라, 현우",29.0
"수아, 제니, 펠릭스",19.0
"아드리아나, 에키온, 재키",25.0
"다니엘, 엠마, 피올로",22.5
"라우라, 쇼이치, 현우",19.444444444444443
"라우라, 마이, 윌리엄",27.333333333333332
"가넷, 라우라, 아이솔",18.333333333333332
"다르코, 알렉스, 이바",12.0
"레녹스, 윌리엄, 케네스",19.0
"샬럿, 아이작, 카밀로",15.0
"리다이린, 에이든, 하트",15.0
"라우라, 칼라, 피올로",24.4
"라우라, 시셀라, 재키",16.875
"다르코, 루크, 재키",15.0
"라우라, 로지, 카밀로",19.583333333333332
"데비와 마를렌, 르노어, 카밀로",18.857142857142858
"르노어, 유키, 케네스",22.8
"리다이린, 시셀라, 유민",17.333333333333332
"레니, 루크, 에이든",14.909090909090908
"르노어, 유키, 현우",26.0
"루크, 수아, 얀",18.285714285714285
"마커스, 엠마, 테오도르",32.5
"데비와 마를렌, 케네스, 펠릭스",34.0
"리오, 마커스, 칼라",21.75
"나타폰, 니키, 유민",17.0
"리오, 마이, 바냐",26.833333333333332
"리오, 버니스, 에이든",4.0
"루크, 시셀라, 에스텔",20.583333333333332
"매그너스, 아디나, 헤이즈",16.5
"라우라, 셀린, 에키온",17.0
"데비와 마를렌, 쇼이치, 헤이즈",18.285714285714285
"아이솔, 에이든, 현우",28.6
"나타폰, 라우라, 비앙카",10.333333333333334
"가넷, 아비게일, 아야",18.473684210526315
"버니스, 샬럿, 유민",24.333333333333332
"나딘, 바냐, 요한",8.0
"알렉스, 에이든, 펠릭스",15.0
"레온, 리오, 유민",20.333333333333332
"카티야, 케네스, 키아라",14.88888888888889
"다르코, 아이솔, 캐시",21.333333333333332
"루크, 아야, 프리야",10.25
"마이, 수아, 아드리아나",8.75
"라우라, 마이, 아야",26.423076923076923
"루크, 샬럿, 윌리엄",21.42105263157895
"리오, 마커스, 테오도르",30.0
"레온, 루크, 아르다",17.4
"마르티나, 마이, 이바",1.0
"나딘, 아이작, 유키",26.0
"다르코, 아르다, 이바",9.333333333333334
"루크, 샬럿, 피오라",14.2
"케네스, 타지아, 피오라",10.0
"에이든, 재키, 카티야",16.0
"셀린, 아이작, 케네스",17.0
"쇼이치, 아비게일, 에스텔",19.6
"쇼이치, 아드리아나, 아이작",17.6
"마커스, 아드리아나, 얀",18.363636363636363
"루크, 쇼이치, 엠마",14.8
"레니, 루크, 버니스",6.0
"아드리아나, 케네스, 현우",21.333333333333332
"셀린, 유키, 클로에",11.0
"르노어, 쇼우, 카티야",20.384615384615383
"샬럿, 수아, 현우",12.142857142857142
"쇼이치, 키아라, 프리야",3.0
"다니엘, 데비와 마를렌, 칼라",17.666666666666668
"라우라, 레온, 하트",28.8
"루크, 이바, 테오도르",12.0
"나타폰, 띠아, 알론소",26.0
"라우라, 유민, 케네스",23.75
"유키, 재키, 키아라",9.0
"루크, 마커스, 셀린",28.8
"바냐, 셀린, 현우",15.0
"나딘, 데비와 마를렌, 실비아",13.666666666666666
"나타폰, 쇼우, 헤이즈",35.0
"라우라, 로지, 엘레나",27.875
"매그너스, 얀, 카티야",22.846153846153847
"띠아, 레녹스, 아르다",15.0
"다르코, 엘레나, 피올로",35.0
"비앙카, 아디나, 아야",14.0
"다르코, 아디나, 재키",38.0
"다르코, 띠아, 엘레나",19.5
"르노어, 리오, 에스텔",22.4
"라우라, 아이솔, 카밀로",20.692307692307693
"다르코, 윌리엄, 유민",12.0
"아디나, 유키, 츠바메",14.0
"쇼이치, 이안, 헤이즈",14.5
"바냐, 키아라, 테오도르",15.0
"레온, 루크, 카티야",13.75
"수아, 아르다, 아이솔",10.5
"아야, 에스텔, 카밀로",9.714285714285714
"로지, 이렘, 카밀로",9.5
"띠아, 마이, 에이든",30.0
"수아, 요한, 키아라",18.11111111111111
"쇼이치, 에키온, 캐시",20.0
"로지, 버니스, 얀",10.0
"다르코, 쇼이치, 에이든",22.0
"다르코, 마이, 츠바메",20.25
"데비와 마를렌, 아비게일, 카티야",18.076923076923077
"마이, 아야, 이안",17.0
"마커스, 시셀라, 캐시",11.166666666666666
"로지, 아야, 에키온",27.0
"나타폰, 마이, 펠릭스",11.875
"쇼이치, 아비게일, 헤이즈",10.3
"아야, 에스텔, 윌리엄",19.333333333333332
"마커스, 샬럿, 카티야",20.333333333333332
"레니, 유민, 캐시",52.0
"데비와 마를렌, 띠아, 리오",16.125
"데비와 마를렌, 마커스, 바냐",13.8
"나딘, 유키, 타지아",22.0
"로지, 리다이린, 캐시",16.0
"샬럿, 아이작, 엠마",22.5
"루크, 버니스, 아디나",26.0
"라우라, 쇼이치, 츠바메",16.6
"얀, 엠마, 피올로",12.4
"버니스, 수아, 유키",21.8
"에이든, 이렘, 카티야",25.0
"루크, 샬럿, 자히르",21.545454545454547
"데비와 마를렌, 쇼이치, 카티야",15.96
"띠아, 레녹스, 르노어",27.25
"데비와 마를렌, 리다이린, 리오",18.46153846153846
"바바라, 카티야, 칼라",31.0
"바냐, 캐시, 혜진",16.0
"가넷, 샬럿, 제니",27.272727272727273
"다르코, 에스텔, 카티야",20.25
"로지, 매그너스, 아델라",26.0
"가넷, 카티야, 하트",6.0
"마이, 아디나, 카티야",14.76923076923077
"나타폰, 라우라, 수아",16.8
"마커스, 이바, 피올로",28.333333333333332
"리오, 엠마, 이바",5.0
"르노어, 바냐, 에스텔",8.777777777777779
"루크, 비앙카, 아델라",24.6
"아야, 알론소, 윌리엄",29.0
"알렉스, 얀, 현우",32.0
"쇼이치, 수아, 츠바메",15.333333333333334
"시셀라, 알렉스, 현우",12.727272727272727
"니키, 버니스, 유키",4.0
"매그너스, 아야, 피오라",20.5
"버니스, 아이작, 현우",14.333333333333334
"아드리아나, 유민, 피오라",3.0
"비앙카, 쇼이치, 시셀라",23.0
"다니엘, 라우라, 엘레나",26.333333333333332
"마이, 펠릭스, 피오라",16.5
"가넷, 나딘, 아이솔",32.666666666666664
"다르코, 띠아, 카밀로",13.6
"다르코, 유민, 헤이즈",11.666666666666666
"다르코, 루크, 테오도르",13.9375
"레니, 루크, 아이작",25.0
"레녹스, 리오, 시셀라",21.11764705882353
"라우라, 얀, 헤이즈",21.333333333333332
"라우라, 요한, 칼라",19.0
"데비와 마를렌, 라우라, 엠마",14.642857142857142
"데비와 마를렌, 샬럿, 제니",25.642857142857142
"가넷, 시셀라, 자히르",16.25
"다니엘, 일레븐, 헤이즈",13.0
"실비아, 엘레나, 카티야",8.166666666666666
"다르코, 마이, 셀린",14.125
"셀린, 이안, 캐시",12.5
"라우라, 마이, 시셀라",20.0
"아드리아나, 아비게일, 이렘",3.6666666666666665
"마이, 알렉스, 얀",16.0
"아야, 얀, 피오라",16.90909090909091
"아이작, 제니, 피올로",25.0
"레온, 리다이린, 케네스",24.0
"니키, 아델라, 얀",18.22222222222222
"다니엘, 다르코, 유민",30.0
"데비와 마를렌, 알론소, 카티야",15.928571428571429
"매그너스, 아이솔, 얀",12.833333333333334
"키아라, 테오도르, 현우",10.666666666666666
"엘레나, 자히르, 캐시",28.5
"버니스, 윌리엄, 카티야",12.5
"레니, 리오, 알론소",19.5
"바냐, 유민, 카티야",9.0
"라우라, 마이, 셀린",21.714285714285715
"나타폰, 알론소, 에이든",39.0
"레온, 엘레나, 테오도르",10.666666666666666
"띠아, 레녹스, 제니",11.5
"데비와 마를렌, 루크, 쇼이치",15.5
"가넷, 리오, 에키온",22.75
"가넷, 아델라, 유키",6.0
"루크, 샬럿, 아야",17.647058823529413
"마이, 바냐, 셀린",9.5
"리다이린, 매그너스, 아르다",43.0
"쇼이치, 실비아, 타지아",20.5
"나타폰, 마이, 유민",17.444444444444443
"레녹스, 매그너스, 클로에",7.0
"가넷, 리오, 바냐",14.133333333333333
"리다이린, 카티야, 타지아",10.333333333333334
